Date,Custom Multi-Asset Index,SPY
2024-12-10,316.6469857027976,596.2887648589375
2024-12-11,318.2234929460568,600.8983947597924
2024-12-12,315.95270315838036,597.8022431679614
2024-12-13,314.3562022304245,597.6835087828501
2024-12-16,314.688272155727,600.2355894766362
2024-12-17,313.34869175934097,597.7625623459523
2024-12-18,303.9223519047998,579.947228819863
2024-12-19,302.4684194897769,579.7690964341043
2024-12-20,306.4299313034928,586.7326493834323
2024-12-23,306.9601062262732,590.2462506167418
2024-12-24,308.98087998253334,596.8068337276536
2024-12-26,309.9595397922818,596.846576165846
2024-12-27,307.12485555525956,590.563882041365
2024-12-30,305.1224846432845,583.8245503828621
2024-12-31,306.2732948792518,581.700578930256
2025-01-02,306.5042683803247,580.27139155991
2025-01-03,308.3205842450057,587.5267587530818
2025-01-06,307.464701641416,590.9112124663118
2025-01-07,305.90856816330023,584.2315868893725
2025-01-08,306.8677305082601,585.0850942596692
2025-01-10,303.7874551614228,576.152288093861
2025-01-13,304.1796171495167,577.0455995185333
2025-01-14,305.7763287308395,577.8395856558163
2025-01-15,308.9768740378097,588.3505671230549
2025-01-16,311.62329923623366,587.219109150144
2025-01-17,312.04541460440475,593.1146071791194
2025-01-21,316.5574198881439,598.5437323171204
2025-01-22,315.855476936175,601.9084688517123
2025-01-23,317.0554896828286,605.1937205099193
2025-01-24,317.7665974775764,603.426938071579
2025-01-27,316.57912968335035,594.8913714391452
2025-01-28,317.1250027446051,600.0028035363399
2025-01-29,314.84828989137776,597.3129490568202
2025-01-30,318.33623133166435,600.5188390710089
2025-01-31,317.7473717593807,597.322992494689
2025-02-03,318.4194658981106,593.3032759322127
2025-02-04,320.4644512489666,597.2833732888631
